dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1975-03-01,22.657,0.224,Delhi,India,28.13N,77.27E
1975-04-01,29.91,0.213,Delhi,India,28.13N,77.27E
1975-05-01,34.561,0.409,Delhi,India,28.13N,77.27E
1975-06-01,32.879,0.716,Delhi,India,28.13N,77.27E
1975-07-01,30.313,0.369,Delhi,India,28.13N,77.27E
1975-08-01,29.55,0.506,Delhi,India,28.13N,77.27E
1975-09-01,28.178,0.371,Delhi,India,28.13N,77.27E
1975-10-01,26.604,0.366,Delhi,India,28.13N,77.27E
1975-11-01,19.617,0.288,Delhi,India,28.13N,77.27E
1975-12-01,16.079,0.215,Delhi,India,28.13N,77.27E
1976-01-01,15.706,0.364,Delhi,India,28.13N,77.27E
1976-02-01,17.85,0.235,Delhi,India,28.13N,77.27E
1976-03-01,22.779,0.249,Delhi,India,28.13N,77.27E
1976-04-01,28.406,0.284,Delhi,India,28.13N,77.27E
1976-05-01,32.972,0.396,Delhi,India,28.13N,77.27E
1976-06-01,32.594,0.393,Delhi,India,28.13N,77.27E
1976-07-01,31.146,0.423,Delhi,India,28.13N,77.27E
1976-08-01,28.723,0.4,Delhi,India,28.13N,77.27E
1976-09-01,28.878,0.327,Delhi,India,28.13N,77.27E
1976-10-01,26.989,0.351,Delhi,India,28.13N,77.27E
1976-11-01,22.029,0.359,Delhi,India,28.13N,77.27E
1976-12-01,15.873,0.31,Delhi,India,28.13N,77.27E
1977-01-01,14.617,0.204,Delhi,India,28.13N,77.27E
1977-02-01,18.099,0.603,Delhi,India,28.13N,77.27E
1977-03-01,25.108,0.42,Delhi,India,28.13N,77.27E
1977-04-01,28.605,0.369,Delhi,India,28.13N,77.27E
1977-05-01,31.741,0.44,Delhi,India,28.13N,77.27E
1977-06-01,33.002,0.473,Delhi,India,28.13N,77.27E
1977-07-01,29.427,0.624,Delhi,India,28.13N,77.27E
1977-08-01,29.684,0.345,Delhi,India,28.13N,77.27E
1977-09-01,28.196,0.239,Delhi,India,28.13N,77.27E
1977-10-01,26.7,0.298,Delhi,India,28.13N,77.27E
1977-11-01,22.735,0.319,Delhi,India,28.13N,77.27E
1977-12-01,16.947,0.461,Delhi,India,28.13N,77.27E
1978-01-01,14.44,0.425,Delhi,India,28.13N,77.27E
1978-02-01,16.408,0.296,Delhi,India,28.13N,77.27E
1978-03-01,21.239,0.258,Delhi,India,28.13N,77.27E
1978-04-01,28.976,0.332,Delhi,India,28.13N,77.27E
1978-05-01,35.859,0.46,Delhi,India,28.13N,77.27E
1978-06-01,33.594,0.551,Delhi,India,28.13N,77.27E
1978-07-01,29.826,0.406,Delhi,India,28.13N,77.27E
1978-08-01,29.261,0.451,Delhi,India,28.13N,77.27E
1978-09-01,28.8,0.235,Delhi,India,28.13N,77.27E
1978-10-01,26.648,0.247,Delhi,India,28.13N,77.27E
1978-11-01,21.39,0.426,Delhi,India,28.13N,77.27E
1978-12-01,16.032,0.37,Delhi,India,28.13N,77.27E
1979-01-01,15.503,0.263,Delhi,India,28.13N,77.27E
1979-02-01,16.727,0.295,Delhi,India,28.13N,77.27E
1979-03-01,21.587,0.396,Delhi,India,28.13N,77.27E
1979-04-01,29.858,0.336,Delhi,India,28.13N,77.27E
1979-05-01,32.021,0.378,Delhi,India,28.13N,77.27E
1979-06-01,34.526,0.424,Delhi,India,28.13N,77.27E
1979-07-01,31.598,0.184,Delhi,India,28.13N,77.27E
1979-08-01,30.694,0.433,Delhi,India,28.13N,77.27E
1979-09-01,30.086,0.499,Delhi,India,28.13N,77.27E
1979-10-01,27.536,0.382,Delhi,India,28.13N,77.27E
1979-11-01,22.76,0.455,Delhi,India,28.13N,77.27E
1979-12-01,16.83,0.398,Delhi,India,28.13N,77.27E
1980-01-01,14.912,0.299,Delhi,India,28.13N,77.27E
1980-02-01,19.007,0.457,Delhi,India,28.13N,77.27E
1980-03-01,22.747,0.529,Delhi,India,28.13N,77.27E
1980-04-01,30.976,0.243,Delhi,India,28.13N,77.27E
1980-05-01,35.417,0.313,Delhi,India,28.13N,77.27E
1980-06-01,33.86,0.378,Delhi,India,28.13N,77.27E
1980-07-01,30.361,0.524,Delhi,India,28.13N,77.27E
1980-08-01,30.381,0.254,Delhi,India,28.13N,77.27E
1980-09-01,29.811,0.334,Delhi,India,28.13N,77.27E
1980-10-01,27.294,0.39,Delhi,India,28.13N,77.27E
1980-11-01,21.246,0.38,Delhi,India,28.13N,77.27E
1980-12-01,16.175,0.355,Delhi,India,28.13N,77.27E
1981-01-01,15.06,0.621,Delhi,India,28.13N,77.27E
1981-02-01,18.662,0.268,Delhi,India,28.13N,77.27E
1981-03-01,22.53,0.378,Delhi,India,28.13N,77.27E
1981-04-01,29.892,0.374,Delhi,India,28.13N,77.27E
1981-05-01,33.729,0.361,Delhi,India,28.13N,77.27E
1981-06-01,35.484,0.404,Delhi,India,28.13N,77.27E
1981-07-01,30.441,0.454,Delhi,India,28.13N,77.27E
1981-08-01,30.457,0.223,Delhi,India,28.13N,77.27E
1981-09-01,30.558,0.4,Delhi,India,28.13N,77.27E
1981-10-01,26.662,0.325,Delhi,India,28.13N,77.27E
1981-11-01,20.158,0.252,Delhi,India,28.13N,77.27E
1981-12-01,15.819,0.339,Delhi,India,28.13N,77.27E
1982-01-01,15.359,0.246,Delhi,India,28.13N,77.27E
1982-02-01,16.457,0.205,Delhi,India,28.13N,77.27E
1982-03-01,20.619,0.46,Delhi,India,28.13N,77.27E
1982-04-01,27.876,0.453,Delhi,India,28.13N,77.27E
1982-05-01,30.614,0.698,Delhi,India,28.13N,77.27E
1982-06-01,34.114,0.473,Delhi,India,28.13N,77.27E
1982-07-01,32.649,0.197,Delhi,India,28.13N,77.27E
1982-08-01,29.858,0.311,Delhi,India,28.13N,77.27E
1982-09-01,29.895,0.424,Delhi,India,28.13N,77.27E
1982-10-01,27.007,0.169,Delhi,India,28.13N,77.27E
1982-11-01,21.164,0.328,Delhi,India,28.13N,77.27E
1982-12-01,16.495,0.382,Delhi,India,28.13N,77.27E
1983-01-01,14.113,0.28,Delhi,India,28.13N,77.27E
1983-02-01,16.533,0.645,Delhi,India,28.13N,77.27E
1983-03-01,22.369,0.208,Delhi,India,28.13N,77.27E
1983-04-01,26.043,0.237,Delhi,India,28.13N,77.27E
1983-05-01,31.552,0.448,Delhi,India,28.13N,77.27E
1983-06-01,33.371,0.294,Delhi,India,28.13N,77.27E
1983-07-01,31.254,0.6,Delhi,India,28.13N,77.27E
1983-08-01,29.883,0.539,Delhi,India,28.13N,77.27E
1983-09-01,29.79,0.251,Delhi,India,28.13N,77.27E
1983-10-01,25.739,0.209,Delhi,India,28.13N,77.27E
1983-11-01,20.228,0.281,Delhi,India,28.13N,77.27E
1983-12-01,16.093,0.399,Delhi,India,28.13N,77.27E
1984-01-01,13.895,0.494,Delhi,India,28.13N,77.27E
1984-02-01,15.83,0.229,Delhi,India,28.13N,77.27E
1984-03-01,24.987,0.243,Delhi,India,28.13N,77.27E
1984-04-01,29.69,0.293,Delhi,India,28.13N,77.27E
1984-05-01,35.673,0.258,Delhi,India,28.13N,77.27E
1984-06-01,34.726,0.687,Delhi,India,28.13N,77.27E
1984-07-01,30.797,0.336,Delhi,India,28.13N,77.27E
1984-08-01,29.75,0.314,Delhi,India,28.13N,77.27E
1984-09-01,28.522,0.233,Delhi,India,28.13N,77.27E
1984-10-01,25.915,0.271,Delhi,India,28.13N,77.27E
1984-11-01,20.514,0.353,Delhi,India,28.13N,77.27E
1984-12-01,16.47,0.345,Delhi,India,28.13N,77.27E
1985-01-01,14.533,0.347,Delhi,India,28.13N,77.27E
1985-02-01,18.244,0.491,Delhi,India,28.13N,77.27E
1985-03-01,25.515,0.49,Delhi,India,28.13N,77.27E
1985-04-01,29.794,0.353,Delhi,India,28.13N,77.27E
1985-05-01,34.614,0.379,Delhi,India,28.13N,77.27E
1985-06-01,34.572,0.583,Delhi,India,28.13N,77.27E
1985-07-01,30.685,0.496,Delhi,India,28.13N,77.27E
1985-08-01,29.991,0.289,Delhi,India,28.13N,77.27E
1985-09-01,29.186,0.33,Delhi,India,28.13N,77.27E
1985-10-01,24.931,0.355,Delhi,India,28.13N,77.27E
1985-11-01,21.174,0.369,Delhi,India,28.13N,77.27E
1985-12-01,17.136,0.246,Delhi,India,28.13N,77.27E
1986-01-01,14.76,0.443,Delhi,India,28.13N,77.27E
1986-02-01,17.064,0.218,Delhi,India,28.13N,77.27E
1986-03-01,23.1,0.445,Delhi,India,28.13N,77.27E
1986-04-01,29.026,0.379,Delhi,India,28.13N,77.27E
1986-05-01,31.708,0.585,Delhi,India,28.13N,77.27E
1986-06-01,34.027,0.458,Delhi,India,28.13N,77.27E
1986-07-01,30.584,0.415,Delhi,India,28.13N,77.27E
1986-08-01,30.374,0.329,Delhi,India,28.13N,77.27E
1986-09-01,29.922,0.517,Delhi,India,28.13N,77.27E
1986-10-01,26.181,0.25,Delhi,India,28.13N,77.27E
1986-11-01,21.918,0.286,Delhi,India,28.13N,77.27E
1986-12-01,15.045,0.313,Delhi,India,28.13N,77.27E
1987-01-01,15.481,0.318,Delhi,India,28.13N,77.27E
1987-02-01,19.231,0.318,Delhi,India,28.13N,77.27E
1987-03-01,24.327,0.51,Delhi,India,28.13N,77.27E
1987-04-01,30.067,0.444,Delhi,India,28.13N,77.27E
1987-05-01,30.936,0.446,Delhi,India,28.13N,77.27E
1987-06-01,35.438,0.251,Delhi,India,28.13N,77.27E
1987-07-01,34.241,0.982,Delhi,India,28.13N,77.27E
1987-08-01,32.147,0.514,Delhi,India,28.13N,77.27E
1987-09-01,31.064,0.522,Delhi,India,28.13N,77.27E
1987-10-01,27.76,0.249,Delhi,India,28.13N,77.27E
1987-11-01,21.494,0.569,Delhi,India,28.13N,77.27E
1987-12-01,16.282,0.434,Delhi,India,28.13N,77.27E
1988-01-01,16.046,0.265,Delhi,India,28.13N,77.27E
1988-02-01,19.241,0.173,Delhi,India,28.13N,77.27E
1988-03-01,23.526,0.289,Delhi,India,28.13N,77.27E
1988-04-01,30.658,0.431,Delhi,India,28.13N,77.27E
1988-05-01,35.589,0.376,Delhi,India,28.13N,77.27E
1988-06-01,34.024,0.64,Delhi,India,28.13N,77.27E
1988-07-01,30.532,0.376,Delhi,India,28.13N,77.27E
1988-08-01,29.636,0.457,Delhi,India,28.13N,77.27E
1988-09-01,30.24,0.337,Delhi,India,28.13N,77.27E
1988-10-01,26.342,0.642,Delhi,India,28.13N,77.27E
1988-11-01,20.976,0.406,Delhi,India,28.13N,77.27E
1988-12-01,16.458,0.354,Delhi,India,28.13N,77.27E
1989-01-01,13.854,0.348,Delhi,India,28.13N,77.27E
1989-02-01,17.12,0.31,Delhi,India,28.13N,77.27E
1989-03-01,22.863,0.292,Delhi,India,28.13N,77.27E
1989-04-01,28.167,0.306,Delhi,India,28.13N,77.27E
1989-05-01,33.966,0.45,Delhi,India,28.13N,77.27E
1989-06-01,33.412,0.65,Delhi,India,28.13N,77.27E
1989-07-01,31.824,0.359,Delhi,India,28.13N,77.27E
1989-08-01,30.163,0.41,Delhi,India,28.13N,77.27E
1989-09-01,29.733,0.346,Delhi,India,28.13N,77.27E
1989-10-01,26.789,0.433,Delhi,India,28.13N,77.27E
1989-11-01,21.545,0.44,Delhi,India,28.13N,77.27E
1989-12-01,15.755,0.803,Delhi,India,28.13N,77.27E
1990-01-01,16.755,0.381,Delhi,India,28.13N,77.27E
1990-02-01,17.69,0.321,Delhi,India,28.13N,77.27E
1990-03-01,21.681,0.311,Delhi,India,28.13N,77.27E
1990-04-01,28.983,0.247,Delhi,India,28.13N,77.27E
1990-05-01,33.247,0.728,Delhi,India,28.13N,77.27E
1990-06-01,34.601,0.231,Delhi,India,28.13N,77.27E
1990-07-01,30.369,0.316,Delhi,India,28.13N,77.27E
1990-08-01,30.169,0.248,Delhi,India,28.13N,77.27E
1990-09-01,29.183,0.33,Delhi,India,28.13N,77.27E
1990-10-01,25.754,0.387,Delhi,India,28.13N,77.27E
1990-11-01,21.518,0.547,Delhi,India,28.13N,77.27E
1990-12-01,16.509,0.365,Delhi,India,28.13N,77.27E
1991-01-01,14.501,0.301,Delhi,India,28.13N,77.27E
1991-02-01,18.433,0.479,Delhi,India,28.13N,77.27E
1991-03-01,23.39,0.633,Delhi,India,28.13N,77.27E
1991-04-01,28.149,0.123,Delhi,India,28.13N,77.27E
1991-05-01,33.874,0.372,Delhi,India,28.13N,77.27E
1991-06-01,34.535,0.474,Delhi,India,28.13N,77.27E
1991-07-01,33.46,0.626,Delhi,India,28.13N,77.27E
1991-08-01,29.976,0.319,Delhi,India,28.13N,77.27E
1991-09-01,29.66,0.226,Delhi,India,28.13N,77.27E
1991-10-01,25.961,0.362,Delhi,India,28.13N,77.27E
1991-11-01,20.47,0.264,Delhi,India,28.13N,77.27E
1991-12-01,16.455,0.484,Delhi,India,28.13N,77.27E
1992-01-01,15.552,0.221,Delhi,India,28.13N,77.27E
1992-02-01,16.744,0.289,Delhi,India,28.13N,77.27E
1992-03-01,23.256,0.196,Delhi,India,28.13N,77.27E
1992-04-01,28.766,0.349,Delhi,India,28.13N,77.27E
1992-05-01,32.755,0.558,Delhi,India,28.13N,77.27E
1992-06-01,35.077,0.368,Delhi,India,28.13N,77.27E
1992-07-01,31.347,0.587,Delhi,India,28.13N,77.27E
1992-08-01,29.763,0.188,Delhi,India,28.13N,77.27E
1992-09-01,28.924,0.262,Delhi,India,28.13N,77.27E
1992-10-01,25.982,0.318,Delhi,India,28.13N,77.27E
1992-11-01,20.962,0.275,Delhi,India,28.13N,77.27E
1992-12-01,17.125,0.584,Delhi,India,28.13N,77.27E
1993-01-01,15.054,0.361,Delhi,India,28.13N,77.27E
1993-02-01,19.434,0.361,Delhi,India,28.13N,77.27E
1993-03-01,21.53,0.324,Delhi,India,28.13N,77.27E
1993-04-01,29.062,0.187,Delhi,India,28.13N,77.27E
1993-05-01,34.62,0.394,Delhi,India,28.13N,77.27E
1993-06-01,34.342,0.664,Delhi,India,28.13N,77.27E
1993-07-01,31.211,0.531,Delhi,India,28.13N,77.27E
1993-08-01,31.514,0.55,Delhi,India,28.13N,77.27E
1993-09-01,28.83,0.64,Delhi,India,28.13N,77.27E
1993-10-01,26.737,0.736,Delhi,India,28.13N,77.27E
1993-11-01,21.984,0.275,Delhi,India,28.13N,77.27E
1993-12-01,16.739,0.211,Delhi,India,28.13N,77.27E
1994-01-01,16.149,0.337,Delhi,India,28.13N,77.27E
1994-02-01,17.582,0.459,Delhi,India,28.13N,77.27E
1994-03-01,24.882,0.4,Delhi,India,28.13N,77.27E
1994-04-01,28.114,0.379,Delhi,India,28.13N,77.27E
1994-05-01,34.435,0.231,Delhi,India,28.13N,77.27E
1994-06-01,35.258,0.536,Delhi,India,28.13N,77.27E
1994-07-01,30.505,0.787,Delhi,India,28.13N,77.27E
1994-08-01,29.658,0.36,Delhi,India,28.13N,77.27E
1994-09-01,29.261,0.346,Delhi,India,28.13N,77.27E
1994-10-01,26.221,0.402,Delhi,India,28.13N,77.27E
1994-11-01,21.431,0.264,Delhi,India,28.13N,77.27E
1994-12-01,16.934,0.496,Delhi,India,28.13N,77.27E
1995-01-01,14.107,0.464,Delhi,India,28.13N,77.27E
1995-02-01,17.958,0.411,Delhi,India,28.13N,77.27E
1995-03-01,22.281,0.185,Delhi,India,28.13N,77.27E
1995-04-01,28.74,0.233,Delhi,India,28.13N,77.27E
1995-05-01,34.904,0.208,Delhi,India,28.13N,77.27E
1995-06-01,36.291,0.338,Delhi,India,28.13N,77.27E
1995-07-01,31.95,0.51,Delhi,India,28.13N,77.27E
1995-08-01,29.364,0.538,Delhi,India,28.13N,77.27E
1995-09-01,29.852,0.43,Delhi,India,28.13N,77.27E
1995-10-01,27.464,0.343,Delhi,India,28.13N,77.27E
1995-11-01,21.268,0.305,Delhi,India,28.13N,77.27E
1995-12-01,16.865,0.358,Delhi,India,28.13N,77.27E
1996-01-01,15.024,0.274,Delhi,India,28.13N,77.27E
1996-02-01,18.241,0.446,Delhi,India,28.13N,77.27E
1996-03-01,24.318,0.281,Delhi,India,28.13N,77.27E
1996-04-01,29.519,0.251,Delhi,India,28.13N,77.27E
1996-05-01,33.645,0.143,Delhi,India,28.13N,77.27E
1996-06-01,33.332,0.299,Delhi,India,28.13N,77.27E
1996-07-01,31.554,0.209,Delhi,India,28.13N,77.27E
1996-08-01,29.36,0.283,Delhi,India,28.13N,77.27E
1996-09-01,29.268,0.307,Delhi,India,28.13N,77.27E
1996-10-01,26.075,0.359,Delhi,India,28.13N,77.27E
1996-11-01,20.857,0.332,Delhi,India,28.13N,77.27E
1996-12-01,15.364,0.325,Delhi,India,28.13N,77.27E
1997-01-01,14.214,0.549,Delhi,India,28.13N,77.27E
1997-02-01,17.399,0.154,Delhi,India,28.13N,77.27E
1997-03-01,22.917,0.529,Delhi,India,28.13N,77.27E
1997-04-01,27.34,0.563,Delhi,India,28.13N,77.27E
1997-05-01,31.625,0.751,Delhi,India,28.13N,77.27E
1997-06-01,32.859,0.271,Delhi,India,28.13N,77.27E
1997-07-01,31.919,0.46,Delhi,India,28.13N,77.27E
1997-08-01,29.885,0.428,Delhi,India,28.13N,77.27E
1997-09-01,29.862,0.405,Delhi,India,28.13N,77.27E
1997-10-01,24.087,0.382,Delhi,India,28.13N,77.27E
1997-11-01,20.305,0.508,Delhi,India,28.13N,77.27E
1997-12-01,14.086,0.62,Delhi,India,28.13N,77.27E
1998-01-01,14.413,0.496,Delhi,India,28.13N,77.27E
1998-02-01,18.019,0.286,Delhi,India,28.13N,77.27E
1998-03-01,21.51,0.307,Delhi,India,28.13N,77.27E
1998-04-01,29.802,0.339,Delhi,India,28.13N,77.27E
1998-05-01,35.023,0.261,Delhi,India,28.13N,77.27E
1998-06-01,34.462,0.445,Delhi,India,28.13N,77.27E
1998-07-01,31.319,0.209,Delhi,India,28.13N,77.27E
1998-08-01,30.499,0.151,Delhi,India,28.13N,77.27E
1998-09-01,29.839,0.35,Delhi,India,28.13N,77.27E
1998-10-01,26.68,0.453,Delhi,India,28.13N,77.27E
1998-11-01,21.58,0.423,Delhi,India,28.13N,77.27E
1998-12-01,16.082,0.201,Delhi,India,28.13N,77.27E
1999-01-01,14.18,0.17,Delhi,India,28.13N,77.27E
1999-02-01,18.752,0.509,Delhi,India,28.13N,77.27E
1999-03-01,24.365,0.436,Delhi,India,28.13N,77.27E
1999-04-01,31.384,0.455,Delhi,India,28.13N,77.27E
1999-05-01,34.514,0.397,Delhi,India,28.13N,77.27E
1999-06-01,34.072,0.554,Delhi,India,28.13N,77.27E
1999-07-01,32.228,0.499,Delhi,India,28.13N,77.27E
1999-08-01,31.091,0.552,Delhi,India,28.13N,77.27E
1999-09-01,30.106,0.324,Delhi,India,28.13N,77.27E
1999-10-01,26.925,0.297,Delhi,India,28.13N,77.27E
1999-11-01,22.288,0.524,Delhi,India,28.13N,77.27E
1999-12-01,16.449,0.29,Delhi,India,28.13N,77.27E
2000-01-01,15.201,0.512,Delhi,India,28.13N,77.27E
2000-02-01,16.388,0.385,Delhi,India,28.13N,77.27E
2000-03-01,22.921,0.31,Delhi,India,28.13N,77.27E
2000-04-01,31.266,0.367,Delhi,India,28.13N,77.27E
2000-05-01,34.524,0.892,Delhi,India,28.13N,77.27E
2000-06-01,33.074,0.317,Delhi,India,28.13N,77.27E
2000-07-01,30.925,0.43,Delhi,India,28.13N,77.27E
2000-08-01,30.687,0.27,Delhi,India,28.13N,77.27E
2000-09-01,30.083,0.345,Delhi,India,28.13N,77.27E
2000-10-01,28.164,0.237,Delhi,India,28.13N,77.27E
2000-11-01,22.445,0.451,Delhi,India,28.13N,77.27E
2000-12-01,16.902,0.254,Delhi,India,28.13N,77.27E
2001-01-01,14.197,0.329,Delhi,India,28.13N,77.27E
2001-02-01,18.882,0.612,Delhi,India,28.13N,77.27E
2001-03-01,23.918,0.565,Delhi,India,28.13N,77.27E
2001-04-01,29.155,0.268,Delhi,India,28.13N,77.27E
2001-05-01,33.541,0.229,Delhi,India,28.13N,77.27E
2001-06-01,31.87,0.342,Delhi,India,28.13N,77.27E
2001-07-01,30.888,0.584,Delhi,India,28.13N,77.27E
2001-08-01,30.832,0.198,Delhi,India,28.13N,77.27E
2001-09-01,30.92,0.332,Delhi,India,28.13N,77.27E
2001-10-01,27.687,0.222,Delhi,India,28.13N,77.27E
2001-11-01,21.806,0.257,Delhi,India,28.13N,77.27E
2001-12-01,16.659,0.672,Delhi,India,28.13N,77.27E
2002-01-01,14.73,0.489,Delhi,India,28.13N,77.27E
2002-02-01,17.742,0.361,Delhi,India,28.13N,77.27E
2002-03-01,24.459,0.219,Delhi,India,28.13N,77.27E
2002-04-01,30.945,0.412,Delhi,India,28.13N,77.27E
2002-05-01,35.236,0.336,Delhi,India,28.13N,77.27E
2002-06-01,34.728,0.443,Delhi,India,28.13N,77.27E
2002-07-01,34.672,0.77,Delhi,India,28.13N,77.27E
2002-08-01,31.075,0.211,Delhi,India,28.13N,77.27E
2002-09-01,29.175,0.821,Delhi,India,28.13N,77.27E
2002-10-01,27.633,0.46,Delhi,India,28.13N,77.27E
2002-11-01,21.886,0.353,Delhi,India,28.13N,77.27E
2002-12-01,17.331,0.532,Delhi,India,28.13N,77.27E
2003-01-01,13.42,1.025,Delhi,India,28.13N,77.27E
2003-02-01,18.199,0.571,Delhi,India,28.13N,77.27E
2003-03-01,23.682,0.574,Delhi,India,28.13N,77.27E
2003-04-01,30.752,0.372,Delhi,India,28.13N,77.27E
2003-05-01,34.075,0.432,Delhi,India,28.13N,77.27E
2003-06-01,35.325,0.517,Delhi,India,28.13N,77.27E
2003-07-01,30.653,0.584,Delhi,India,28.13N,77.27E
2003-08-01,30.252,0.45,Delhi,India,28.13N,77.27E
2003-09-01,29.166,0.398,Delhi,India,28.13N,77.27E
2003-10-01,26.345,0.326,Delhi,India,28.13N,77.27E
2003-11-01,20.962,0.379,Delhi,India,28.13N,77.27E
2003-12-01,15.822,0.537,Delhi,India,28.13N,77.27E
2004-01-01,14.199,0.392,Delhi,India,28.13N,77.27E
2004-02-01,18.737,0.483,Delhi,India,28.13N,77.27E
2004-03-01,26.432,0.254,Delhi,India,28.13N,77.27E
2004-04-01,31.433,0.238,Delhi,India,28.13N,77.27E
2004-05-01,33.999,0.29,Delhi,India,28.13N,77.27E
2004-06-01,33.017,0.241,Delhi,India,28.13N,77.27E
2004-07-01,32.816,0.729,Delhi,India,28.13N,77.27E
2004-08-01,29.993,0.229,Delhi,India,28.13N,77.27E
2004-09-01,30.534,0.222,Delhi,India,28.13N,77.27E
2004-10-01,25.6,0.305,Delhi,India,28.13N,77.27E
2004-11-01,21.422,0.28,Delhi,India,28.13N,77.27E
2004-12-01,16.697,0.397,Delhi,India,28.13N,77.27E
2005-01-01,14.383,0.395,Delhi,India,28.13N,77.27E
2005-02-01,17.669,0.331,Delhi,India,28.13N,77.27E
2005-03-01,24.469,0.355,Delhi,India,28.13N,77.27E
2005-04-01,29.322,0.511,Delhi,India,28.13N,77.27E
2005-05-01,32.998,1.098,Delhi,India,28.13N,77.27E
2005-06-01,35.2,0.273,Delhi,India,28.13N,77.27E
2005-07-01,30.544,0.398,Delhi,India,28.13N,77.27E
2005-08-01,31.364,0.462,Delhi,India,28.13N,77.27E
2005-09-01,29.675,0.192,Delhi,India,28.13N,77.27E
2005-10-01,26.409,0.536,Delhi,India,28.13N,77.27E
2005-11-01,21.2,0.331,Delhi,India,28.13N,77.27E
2005-12-01,15.36,0.224,Delhi,India,28.13N,77.27E
2006-01-01,15.594,0.433,Delhi,India,28.13N,77.27E
2006-02-01,22.174,0.692,Delhi,India,28.13N,77.27E
2006-03-01,23.271,0.372,Delhi,India,28.13N,77.27E
2006-04-01,30.364,0.786,Delhi,India,28.13N,77.27E
2006-05-01,34.188,0.497,Delhi,India,28.13N,77.27E
2006-06-01,32.943,0.827,Delhi,India,28.13N,77.27E
2006-07-01,31.412,0.36,Delhi,India,28.13N,77.27E
2006-08-01,30.507,0.585,Delhi,India,28.13N,77.27E
2006-09-01,30.051,0.275,Delhi,India,28.13N,77.27E
2006-10-01,27.5,0.355,Delhi,India,28.13N,77.27E
2006-11-01,21.846,0.525,Delhi,India,28.13N,77.27E
2006-12-01,16.541,0.196,Delhi,India,28.13N,77.27E
2007-01-01,15.12,0.129,Delhi,India,28.13N,77.27E
2007-02-01,18.382,1.132,Delhi,India,28.13N,77.27E
2007-03-01,22.863,0.499,Delhi,India,28.13N,77.27E
2007-04-01,31.331,0.524,Delhi,India,28.13N,77.27E
2007-05-01,33.907,0.572,Delhi,India,28.13N,77.27E
2007-06-01,34.446,0.355,Delhi,India,28.13N,77.27E
2007-07-01,31.745,0.884,Delhi,India,28.13N,77.27E
2007-08-01,30.95,0.793,Delhi,India,28.13N,77.27E
2007-09-01,30.266,0.671,Delhi,India,28.13N,77.27E
2007-10-01,26.886,0.33,Delhi,India,28.13N,77.27E
2007-11-01,21.927,0.197,Delhi,India,28.13N,77.27E
2007-12-01,15.925,0.276,Delhi,India,28.13N,77.27E
2008-01-01,14.534,0.156,Delhi,India,28.13N,77.27E
2008-02-01,16.809,0.253,Delhi,India,28.13N,77.27E
2008-03-01,25.979,0.348,Delhi,India,28.13N,77.27E
2008-04-01,29.609,1.075,Delhi,India,28.13N,77.27E
2008-05-01,32.313,0.542,Delhi,India,28.13N,77.27E
2008-06-01,31.151,0.397,Delhi,India,28.13N,77.27E
2008-07-01,30.918,0.217,Delhi,India,28.13N,77.27E
2008-08-01,29.868,0.27,Delhi,India,28.13N,77.27E
2008-09-01,29.513,0.364,Delhi,India,28.13N,77.27E
2008-10-01,27.792,0.81,Delhi,India,28.13N,77.27E
2008-11-01,21.769,0.53,Delhi,India,28.13N,77.27E
2008-12-01,17.845,0.157,Delhi,India,28.13N,77.27E
2009-01-01,16.096,0.253,Delhi,India,28.13N,77.27E
2009-02-01,19.479,0.366,Delhi,India,28.13N,77.27E
2009-03-01,24.655,0.416,Delhi,India,28.13N,77.27E
2009-04-01,30.182,0.429,Delhi,India,28.13N,77.27E
2009-05-01,34.067,0.472,Delhi,India,28.13N,77.27E
2009-06-01,35.543,0.527,Delhi,India,28.13N,77.27E
2009-07-01,32.271,0.274,Delhi,India,28.13N,77.27E
2009-08-01,31.519,0.387,Delhi,India,28.13N,77.27E
2009-09-01,30.154,0.292,Delhi,India,28.13N,77.27E
2009-10-01,26.6,0.417,Delhi,India,28.13N,77.27E
2009-11-01,21.214,0.293,Delhi,India,28.13N,77.27E
2009-12-01,16.871,0.338,Delhi,India,28.13N,77.27E
2010-01-01,14.014,0.493,Delhi,India,28.13N,77.27E
2010-02-01,19.178,0.368,Delhi,India,28.13N,77.27E
2010-03-01,26.953,0.238,Delhi,India,28.13N,77.27E
2010-04-01,32.809,0.358,Delhi,India,28.13N,77.27E
2010-05-01,35.61,0.321,Delhi,India,28.13N,77.27E
2010-06-01,35.165,0.285,Delhi,India,28.13N,77.27E
2010-07-01,31.465,0.439,Delhi,India,28.13N,77.27E
2010-08-01,30.031,0.655,Delhi,India,28.13N,77.27E
2010-09-01,28.612,0.733,Delhi,India,28.13N,77.27E
2010-10-01,27.256,0.475,Delhi,India,28.13N,77.27E
2010-11-01,21.757,0.314,Delhi,India,28.13N,77.27E
2010-12-01,15.393,0.651,Delhi,India,28.13N,77.27E
2011-01-01,13.376,0.372,Delhi,India,28.13N,77.27E
2011-02-01,18.136,0.172,Delhi,India,28.13N,77.27E
2011-03-01,23.864,0.536,Delhi,India,28.13N,77.27E
2011-04-01,28.956,0.317,Delhi,India,28.13N,77.27E
2011-05-01,34.298,0.441,Delhi,India,28.13N,77.27E
2011-06-01,32.967,0.451,Delhi,India,28.13N,77.27E
